Index,Depth,PAD1[0],PAD1[1],PAD1[2],PAD1[3],PAD1[4],PAD1[5],PAD1[6],PAD1[7],PAD1[8],PAD1[9],PAD1[10],PAD1[11],PAD1[12],PAD1[13],PAD1[14],PAD1[15],PAD1[16],PAD1[17],PAD1[18],PAD1[19],PAD1[20],PAD1[21],PAD1[22],PAD1[23],PAD1[24]
1,504.0009155,530.960022,515.4400024,521.4400024,511.1199951,489.7600098,433.2000122,473.519989,481.3599854,449.8399963,465.6799927,457.519989,467.2799988,448.3999939,436.0799866,441.0400085,429.9200134,427.4400024,461.2799988,497.8399963,415.7600098,411.6799927,417.6799927,435.6799927,411.6799927,418.7200012
2,504.0034555,542.3200073,497.2000122,540.1599731,504.3999939,487.7600098,428.1600037,468.3999939,460.3999939,465.8399963,463.9200134,477.6000061,483.519989,475.3599854,446.3200073,447.2000122,416.8800049,408.8800049,461.2799988,437.8399963,412.3200073,393.6000061,420.3200073,431.2000122,399.0400085,407.6000061
3,504.0059955,541.5999756,496.1600037,543.5999756,506.480011,494.480011,458.7999878,470.480011,472.1600037,515.5200195,469.3599854,519.4400024,494,518.1599731,439.3599854,501.4400024,425.8399963,444.7999878,508.2399902,449.4400024,439.0400085,420.5599976,431.4400024,436.9599915,404.8800049,400.5599976
4,504.0085355,546.6400146,526.2399902,542.5599976,523.1199951,519.6799927,473.9200134,494.0799866,477.6799927,532.5599976,456.480011,505.2799988,451.2799988,530.960022,434.9599915,508.5599976,425.7600098,461.519989,484.1600037,452.0799866,425.519989,460.480011,442.6400146,459.4400024,404.7200012,375.2799988
5,504.0110755,552.8800049,557.2000122,568,541.5200195,537.9199829,469.9200134,510.6400146,471.2000122,507.4400024,471.4400024,491.6799927,460.8800049,517.9199829,462.3999939,484.3999939,413.2799988,464.7200012,429.9200134,459.9200134,372.2399902,488.480011,399.8399963,467.3599854,399.9200134,490.1600037
6,504.0136155,560.1599731,550.7199707,584.4799805,551.7600098,529.3599854,478.5599976,506.6400146,500,512,524.5599976,510,522.960022,511.0400085,495.3599854,540.7199707,470.6400146,524.8800049,444.1600037,454.2399902,412.7200012,451.7600098,422.8800049,444.3999939,398.3999939,476.1600037
7,504.0161555,562.7999878,548.3200073,561.3599854,550.7999878,536.5599976,510.0799866,502.3999939,522.2399902,530.2399902,517.8400269,493.3599854,518.0800171,505.2799988,503.3599854,533.6799927,477.1199951,508.7200012,462.6400146,447.519989,440.2399902,391.519989,446,447.2799988,419.8399963,423.3599854
8,504.0186955,572.1599731,557.8400269,545.2800293,568.7199707,546.8800049,532.7199707,492.7200012,527.7600098,525.039978,504.0799866,487.2799988,513.8400269,499.6799927,478.3200073,537.9199829,456.2399902,519.1199951,451.519989,475.0400085,467.0400085,427.2000122,425.3599854,446.480011,467.6000061,398.3200073
9,504.0212355,567.6799927,573.7600098,529.6799927,584.0800171,539.3599854,519.3599854,472.0799866,512.1599731,543.7600098,527.4400024,504.9599915,513.2800293,506.7200012,497.0400085,531.1199951,551.2800293,535.2000122,476.1600037,557.8400269,415.3599854,499.519989,416.5599976,412.2399902,438.3200073,381.6799927
10,504.0237755,575.2800293,572.1599731,513.5999756,570.8800049,543.1199951,519.4400024,481.9200134,519.5200195,558.8800049,507.6000061,574.960022,526.3200073,520.2399902,488.6400146,494.8800049,524.0800171,487.2799988,521.2800293,600.6400146,364.3999939,458.0799866,419.9200134,419.1199951,405.9200134,400.6400146
11,504.0263155,560.6400146,551.7600098,513.3599854,553.8400269,535.7600098,521.3599854,479.4400024,521.2800293,533.2000122,505.2000122,568.5599976,498.8800049,495.0400085,504.7200012,486.3999939,517.6799927,440.480011,517.6799927,476.5599976,430.2399902,433.9200134,442,430.7200012,350.8800049,441.7600098
12,504.0288555,585.9199829,555.5999756,529.039978,549.039978,513.9199829,510.7200012,407.3599854,501.4400024,454.480011,529.2000122,483.6799927,495.6000061,477.6799927,510.7999878,475.7600098,549.039978,461.9200134,528.4000244,442.480011,512.8800049,449.6000061,421.1199951,499.9200134,332.7999878,574.4000244
13,504.0313955,556.1599731,549.2800293,501.6000061,542.6400146,496.9599915,524.4000244,394.6400146,504.0799866,432.9599915,605.5999756,463.1199951,528.2399902,451.2000122,532.4799805,471.1199951,462.8800049,465.1199951,509.3599854,448.3999939,508.3200073,441.6000061,423.4400024,444.3200073,396.0799866,423.6799927
14,504.0339355,544.7999878,579.5200195,476.9599915,528.960022,490.5599976,516.7999878,438.2399902,471.0400085,470.0799866,575.039978,518.7999878,520.0800171,462.2399902,496.9599915,462.2399902,448.7200012,475.9200134,432.1600037,440.7200012,412.1600037,426.3200073,414.0799866,467.1199951,412,382.3200073
15,504.0364755,535.039978,592.3200073,473.9200134,517.9199829,493.4400024,480.3999939,459.4400024,384.8800049,485.4400024,486.1600037,564.6400146,473.519989,501.3599854,470.480011,466.5599976,453.8399963,468,451.6000061,443.4400024,434.7999878,429.1199951,449.3599854,450.480011,514.4000244,430
16,504.0390155,544.960022,578.5599976,476.9599915,516.0800171,478.2399902,463.8399963,468.9599915,373.6799927,510.2399902,461.6799927,527.9199829,451.1199951,490.1600037,472.2399902,483.519989,455.2799988,459.4400024,447.2799988,451.0400085,438,413.3599854,421.6000061,398,433.7600098,386.1600037
17,504.0415555,555.9199829,545.2000122,473.7600098,496.5599976,488.6400146,476.8800049,484,421.6799927,513.6799927,472,473.3599854,455.2799988,453.0400085,437.1199951,451.7600098,453.3599854,440.7200012,454.7200012,434.7200012,428.8800049,420.3200073,433.2799988,432.480011,362.1600037,381.8399963
18,504.0440955,524.4799805,526.7199707,461.519989,485.6000061,511.8399963,477.7600098,443.0400085,491.1199951,461.4400024,503.1199951,437.2000122,576.960022,454.9599915,455.3599854,452.3999939,466.7200012,497.0400085,455.9200134,390.5599976,412.0799866,428.9599915,426.5599976,392.480011,414.0799866,382.1600037
