Index,Depth,PAD5[0],PAD5[1],PAD5[2],PAD5[3],PAD5[4],PAD5[5],PAD5[6],PAD5[7],PAD5[8],PAD5[9],PAD5[10],PAD5[11],PAD5[12],PAD5[13],PAD5[14],PAD5[15],PAD5[16],PAD5[17],PAD5[18],PAD5[19],PAD5[20],PAD5[21],PAD5[22],PAD5[23],PAD5[24]
1,504.0009155,443.6799927,452.2399902,483.6799927,489.7600098,488.3999939,462,465.4400024,499.4400024,505.6799927,473.2000122,510,569.8400269,496.9599915,636.4000244,489.6000061,528.3200073,480.7200012,489.2000122,484.6400146,502.6400146,505.9200134,548.7999878,499.6000061,541.039978,523.9199829
2,504.0034555,455.7600098,452.3999939,478.9599915,502.5599976,480,461.9200134,453.0400085,500.480011,475.4400024,476.6400146,497.3599854,522.6400146,484.480011,562.8800049,493.6000061,510.7200012,473.9200134,507.9200134,477.4400024,501.6799927,495.519989,532.1599731,514.5599976,513.2000122,546.3200073
3,504.0059955,448.7999878,475.2000122,428.480011,493.519989,422.3999939,445.0400085,421.6799927,473.2799988,454.480011,474.9599915,464,463.6799927,466.3200073,482.1600037,480.3200073,464,465.6000061,508.3200073,475.4400024,492.7999878,486.0799866,525.039978,532.3200073,493.4400024,558.5599976
4,504.0085355,402.5599976,447.2799988,408.480011,488.8800049,402.480011,453.0400085,421.1199951,496.1600037,439.9200134,499.2000122,464,500.6400146,463.4400024,479.9200134,464.5599976,458.3200073,448.3200073,480.2399902,460,485.6000061,481.9200134,500.6400146,525.3599854,491.6799927,560.3200073
5,504.0110755,391.1199951,439.3599854,414.7999878,489.7600098,409.4400024,435.6799927,417.6000061,475.0400085,413.4400024,475.4400024,454.2399902,499.2000122,461.8399963,491.0400085,461.6799927,470.8800049,452.3200073,470.480011,458.7999878,477.1199951,480.7999878,496.7999878,480.6400146,527.5200195,492.3200073
6,504.0136155,369.4400024,403.2000122,409.8399963,433.1199951,424.1600037,406.5599976,424.480011,448.6400146,438.3200073,461.8399963,446.0799866,459.6000061,487.0400085,482.3999939,461.0400085,455.519989,462.9599915,462.5599976,475.2799988,473.2799988,486.6400146,490.9599915,458.2399902,569.6799927,463.4400024
7,504.0161555,362.5599976,393.6799927,407.9200134,421.1199951,409.1199951,385.6000061,414.7999878,438.3200073,469.6799927,448.3999939,441.2000122,437.0400085,491.2000122,465.7600098,471.0400085,438.2399902,484.1600037,456.6400146,474.2399902,469.1199951,487.6000061,484.3999939,449.6000061,552.3200073,448.0799866
8,504.0186955,362.8800049,383.9200134,400.3999939,458,414.3200073,399.2000122,413.4400024,428.7999878,454,422.7999878,453.7600098,439.7600098,486.9599915,465.6799927,483.0400085,427.2799988,476.0799866,450.0799866,452.5599976,459.4400024,468.1600037,474.3999939,461.3599854,505.4400024,463.4400024
9,504.0212355,403.6000061,370.5599976,385.519989,444.9599915,413.1199951,410.7200012,416.3999939,426.7999878,414.1600037,436.6400146,445.519989,464.7200012,448.3999939,446.1600037,421.0400085,450.5599976,433.3599854,469.9200134,423.1199951,484.480011,453.4400024,464.6400146,446.7200012,455.8399963,465.2000122
10,504.0237755,443.2799988,392.480011,386.480011,409.8399963,418.1600037,406,411.4400024,432.3200073,408.480011,455.4400024,426.2399902,483.0400085,410.6400146,457.6799927,404.7999878,463.6000061,424.5599976,483.1199951,413.6000061,467.7600098,426.7200012,464.1600037,429.8399963,456.7200012,447.6000061
11,504.0263155,372.6400146,361.4400024,332.5599976,398.5599976,392.5599976,393.6799927,395.9200134,445.6000061,410.6400146,462.2399902,387.1199951,502.6400146,390.7200012,457.8399963,396.8800049,444.3999939,413.9200134,470.2399902,402,454.2399902,429.4400024,465.519989,416.9599915,456.6400146,438.7999878
12,504.0288555,386,400.6400146,354.9599915,433.2799988,426.480011,396.6400146,363.0400085,426.3200073,375.3599854,406.6400146,373.6000061,506.0799866,378.2399902,427.7600098,388.3200073,418.9599915,422.3200073,434.2399902,412,436.2399902,424.2399902,436.2399902,399.3599854,449.9200134,443.1199951
13,504.0313955,406.2399902,407.4400024,379.9200134,430.7200012,391.4400024,374.480011,354.8800049,411.1199951,368.3999939,404.6400146,369.9200134,438.1600037,367.0400085,392.7200012,392,395.6799927,420.8800049,414.8800049,411.8399963,409.7600098,428,432.7999878,431.2799988,431.6000061,456.3999939
14,504.0339355,350.7999878,338.1600037,359.2799988,385.4400024,385.9200134,373.6799927,413.9200134,396.3200073,394.3200073,391.0400085,384.5599976,389.1199951,384.9599915,385.8399963,415.0400085,390.6400146,426.0799866,410.0799866,416.8800049,414.5599976,445.4400024,413.9200134,438.3999939,421.3599854,456.6400146
15,504.0364755,369.519989,381.6000061,372.8800049,422.7999878,442.3999939,376.2399902,453.6000061,374.0799866,429.0400085,370.3999939,423.9200134,394.3200073,390.2399902,380.6400146,427.2799988,404.0799866,443.3599854,412.1600037,432.2399902,422.1600037,443.7600098,422,445.6799927,418.7999878,453.4400024
16,504.0390155,363.2000122,420.5599976,393.0400085,434.6400146,428.9599915,352.9599915,429.7600098,373.6000061,421.8399963,364,414.2399902,373.519989,394.7999878,386.6400146,424.7200012,393.7600098,418.7200012,412.8800049,439.4400024,427.519989,445.1199951,421.1199951,434.8800049,426.8800049,449.0400085
17,504.0415555,391.1199951,419.9200134,366.6400146,377.4400024,403.9200134,362.3200073,406.0799866,381.1199951,389.6799927,356.5599976,410.5599976,379.7600098,393.9200134,384.7999878,413.2000122,408.0799866,418.5599976,426.5599976,435.6000061,422.3999939,439.519989,434.7999878,434.1600037,446.1600037,450.5599976
18,504.0440955,370.0799866,374.5599976,380.480011,416.9599915,405.2799988,415.2799988,401.6000061,469.9200134,380.0799866,399.1199951,407.2799988,408.5599976,396.5599976,403.6000061,442.1600037,434.2399902,455.0400085,443.7600098,435.7600098,426.5599976,424.480011,452.5599976,436.2399902,444.9599915,424.3200073
19,504.0466355,364.480011,392.7200012,398.2399902,419.4400024,415.519989,407.9200134,405.8399963,429.4400024,373.2000122,416,393.6799927,411.8399963,388.480011,401.6000061,411.6000061,404.7200012,426.1600037,437.9200134,411.4400024,418.5599976,395.2799988,448.3999939,418.7200012,430.7200012,406.480011
