Index,Depth,PAD2[0],PAD2[1],PAD2[2],PAD2[3],PAD2[4],PAD2[5],PAD2[6],PAD2[7],PAD2[8],PAD2[9],PAD2[10],PAD2[11],PAD2[12],PAD2[13],PAD2[14],PAD2[15],PAD2[16],PAD2[17],PAD2[18],PAD2[19],PAD2[20],PAD2[21],PAD2[22],PAD2[23],PAD2[24]
1,504.0009155,480.7999878,483.4400024,463.6000061,498.2399902,480,477.4400024,493.6799927,488.3999939,448.6400146,478.6400146,451.0400085,495.6000061,517.4400024,495.7600098,476.6400146,550.8800049,433.9200134,468.7200012,464.480011,412.7999878,457.1199951,451.6000061,496.9599915,433.2799988,477.2000122
2,504.0034555,482.3999939,473.6000061,490.0799866,493.4400024,491.2799988,473.6000061,483.3599854,505.6799927,448.1600037,494.7999878,466.3999939,500.0799866,480.3999939,503.6000061,445.0400085,462.1600037,434.3999939,447.2799988,471.1199951,447.9200134,434.3999939,563.2800293,476.2399902,417.6799927,448.3200073
3,504.0059955,470.9599915,487.2000122,490.1600037,508.6400146,468,492.2399902,463.2799988,541.2000122,449.2799988,542,482.3200073,532.7999878,461.2799988,521.5999756,476.0799866,477.4400024,542.2399902,514.1599731,463.2799988,503.9200134,437.2799988,525.6799927,453.0400085,389.6000061,442.1600037
4,504.0085355,472.1600037,475.8399963,486.8800049,486.9599915,472.6400146,494.9599915,475.2000122,564.2399902,472.6400146,523.2800293,473.3599854,478.480011,493.9200134,491.1199951,513.5200195,463.2000122,575.3599854,486.3200073,437.6000061,471.9200134,434.7200012,423.8399963,434.9599915,382.8800049,450.480011
5,504.0110755,457.8399963,435.6799927,489.7600098,479.7600098,480,483.2000122,487.2000122,559.4400024,491.2799988,472,478.1600037,395.4400024,530.3200073,462.2399902,499.4400024,431.4400024,461.2799988,423.1199951,433.2799988,473.1199951,510.0799866,437.0400085,518.960022,489.519989,443.6799927
6,504.0136155,486.8800049,433.8399963,497.1199951,505.0400085,494.5599976,459.4400024,522.1599731,536.5599976,527.4400024,504.9599915,535.2800293,427.2000122,504.9599915,517.4400024,522.8800049,444.8800049,514.8800049,454.480011,498.3999939,503.9200134,552,431.3599854,476,499.9200134,418.9599915
7,504.0161555,506.0799866,436.480011,470.480011,471.7600098,484.7200012,548,582,603.2800293,508.5599976,481.3599854,508.2399902,457.4400024,400.0799866,572,516.7999878,487.2799988,510.3200073,476.7999878,460.2399902,480,477.2799988,461.2000122,404.3200073,465.1199951,390.7200012
8,504.0186955,448.0799866,472.1600037,464.7200012,491.519989,476.6400146,568.7999878,574.8800049,567.2800293,488.2399902,464.0799866,449.1199951,472.480011,377.2000122,584.0800171,491.2799988,507.6000061,456,462.7200012,427.6000061,509.7600098,472.2399902,448.3999939,470,480.8800049,454.7999878
9,504.0212355,468.5599976,444.5599976,453.0400085,477.6799927,513.5200195,449.2799988,478.2399902,387.6799927,581.2000122,485.1199951,430.5599976,512.7199707,491.7600098,576.5599976,499.7600098,577.4400024,458.9599915,483.6799927,480.6400146,585.7600098,505.0400085,468.8800049,469.9200134,457.0400085,509.6000061
10,504.0237755,491.2799988,466.7999878,426.3200073,477.3599854,537.8400269,504.0799866,559.2800293,395.9200134,586.7199707,500.3999939,429.2000122,542.7999878,518.0800171,505.8399963,538.1599731,582.7999878,480.7200012,552.3200073,501.2799988,535.1199951,465.3599854,509.2000122,490,464.5599976,492.9599915
