Index,Depth,PAD3[0],PAD3[1],PAD3[2],PAD3[3],PAD3[4],PAD3[5],PAD3[6],PAD3[7],PAD3[8],PAD3[9],PAD3[10],PAD3[11],PAD3[12],PAD3[13],PAD3[14],PAD3[15],PAD3[16],PAD3[17],PAD3[18],PAD3[19],PAD3[20],PAD3[21],PAD3[22],PAD3[23],PAD3[24]
1,504.0009155,505.8399963,470.9599915,488.9599915,473.0400085,459.7600098,432.9599915,448.0799866,458.3200073,445.1199951,425.8399963,441.2799988,419.6000061,484.480011,406.2399902,445.6799927,396.5599976,438.9599915,409.9200134,428.2399902,480.7999878,406.8800049,411.3599854,463.2000122,359.8399963,439.8399963
2,504.0034555,503.0400085,426.7200012,483.2799988,456.0799866,516.7199707,424.9599915,504.3200073,466.7200012,475.7600098,412.6400146,487.8399963,416.2399902,519.8400269,412.9599915,468.7200012,394.480011,443.3599854,423.6000061,419.3599854,468.6400146,424,393.1199951,464,381.0400085,462.3200073
3,504.0059955,505.2000122,441.6799927,488.0799866,453.6000061,530.5599976,420.3999939,519.5200195,418.3999939,495.3599854,410.2399902,493.4400024,401.4400024,549.1199951,422.8800049,501.6799927,411.6000061,468.6400146,419.0400085,452.5599976,420.6400146,468.7200012,407.0400085,469.2000122,411.6000061,458.3999939
4,504.0085355,505.2799988,469.4400024,495.8399963,478.5599976,512.1599731,438.6400146,501.519989,445.0400085,501.2000122,432.7200012,479.1199951,448.7200012,512.4799805,448.7999878,500.3200073,421.7600098,474,446.6400146,490,382.3999939,517.4400024,427.519989,463.519989,440.3999939,486.2399902
5,504.0110755,499.519989,481.8399963,522.3200073,502.2399902,477.6799927,510.1600037,481.0400085,498.3200073,478.5599976,502.7999878,466.7999878,493.3599854,469.0400085,504.2399902,502.5599976,445.9200134,494.480011,454,494,365.9200134,518.0800171,453.1199951,488.6400146,429.9200134,557.2800293
6,504.0136155,503.0400085,486.8800049,526.8800049,516,484.1600037,536.4799805,468.2399902,527.9199829,455.6799927,514.7199707,470.7999878,548,458.6400146,505.6799927,491.8399963,461.519989,485.4400024,478.2399902,496.5599976,427.4400024,552.5599976,478.3999939,518.6400146,449.8399963,581.6799927
7,504.0161555,494.6400146,506,470.9599915,503.6799927,473.3599854,504.7200012,456.6400146,519.4400024,447.519989,496.7200012,446.1600037,529.9199829,464.6400146,488.480011,477.519989,481.9200134,482.480011,485.8399963,458.1600037,485.8399963,516.7199707,498,488.2399902,461.3599854,491.519989
8,504.0186955,451.2799988,493.6000061,449.4400024,519.5999756,465.0400085,498,440.5599976,492,460.3999939,491.2000122,451.8399963,488.7999878,452.3200073,478.5599976,458.0799866,496.8800049,456.3999939,481.9200134,487.1199951,500.1600037,472.7999878,507.2000122,480.8800049,515.4400024,496.7999878
9,504.0212355,463.8399963,473.3599854,452.0799866,525.5999756,453.7600098,471.2799988,443.0400085,472.480011,456.0799866,469.2000122,478.9599915,481.4400024,468.7200012,469.1199951,426.1600037,495.8399963,487.3599854,479.4400024,494.3200073,516.960022,459.8399963,558.6400146,483.519989,485.7600098,493.7600098
10,504.0237755,477.9200134,469.8399963,439.4400024,489.9200134,448.480011,471.4400024,449.3599854,459.1199951,410.9599915,436.3200073,450.5599976,480.6400146,521.3599854,462.3999939,480.480011,496.5599976,522.7199707,461.3599854,461.6799927,466.9599915,425.2799988,519.039978,509.7600098,461.519989,453.3599854
